site,en,cr,range
Vizhinjam_25,9,1,10
Tuticorin_25,7,0,0
Pipavav_25,0,0,0
Muttom_25,7,0,6
Kudankulam_25,4,0,4
Hazira_25,0,0,0
Vizhinjam_20,6,1,6
Tuticorin_20,5,0,0
Pipavav_20,0,0,0
Muttom_20,3,0,2
Kudankulam_20,3,0,2
Hazira_20,0,0,0
Vizhinjam_15,3,0,2
Tuticorin_15,3,0,0
Pipavav_15,0,0,0
Muttom_15,0,0,1
Kudankulam_15,2,0,1
Hazira_15,0,0,0
Vizhinjam_10,2,0,0
Tuticorin_10,1,0,0
Pipavav_10,0,0,0
Muttom_10,0,0,0
Kudankulam_10,2,0,1
Hazira_10,0,0,0
