species,red_list_url
Aethomys kaiseri,https://www.iucnredlist.org/species/572/115050664
Micaelamys namaquensis,https://www.iucnredlist.org/species/573/114636514
Aethomys nyikae,https://www.iucnredlist.org/species/574/115050999
Aethomys stannarius,https://www.iucnredlist.org/species/575/22458544
Aethomys thomasi,https://www.iucnredlist.org/species/576/115051120
Afrithelphusa leonensis,https://www.iucnredlist.org/species/592/134452846
Afrithelphusa gerhildae,https://www.iucnredlist.org/species/593/134452648
Afrithelphusa afzelii,https://www.iucnredlist.org/species/594/134452404
Afrithelphusa monodosa,https://www.iucnredlist.org/species/595/134453041
Afrixalus aureus,https://www.iucnredlist.org/species/596/3079746
Afroedura hawequensis,https://www.iucnredlist.org/species/612/197396890
Africanogyrus rodriguezensis,https://www.iucnredlist.org/species/618/91287686
Africanogyrus starmuehlneri,https://www.iucnredlist.org/species/619/91287776
Agonostomus telfairii,https://www.iucnredlist.org/species/697/174775712
Cuniculus paca,https://www.iucnredlist.org/species/699/22197347
Cuniculus taczanowskii,https://www.iucnredlist.org/species/700/22197554
Agriades zullichi,https://www.iucnredlist.org/species/701/53713080
Agrotis crinigera,https://www.iucnredlist.org/species/704/189702899
Agrotis fasciata,https://www.iucnredlist.org/species/705/189702927
Agrotis kerri,https://www.iucnredlist.org/species/706/189702955
Agrotis laysanensis,https://www.iucnredlist.org/species/707/189702983
Agrotis photophila,https://www.iucnredlist.org/species/708/189703011
Agrotis procellaris,https://www.iucnredlist.org/species/709/189703039
Ailuropoda melanoleuca,https://www.iucnredlist.org/species/712/121745669
Ailurus fulgens,https://www.iucnredlist.org/species/714/110023718
Akodon aerosus,https://www.iucnredlist.org/species/723/22380418
Akodon affinis,https://www.iucnredlist.org/species/724/22380499
Akodon albiventer,https://www.iucnredlist.org/species/725/115051226
Akodon azarae,https://www.iucnredlist.org/species/726/115051347
Neomicroxus bogotensis,https://www.iucnredlist.org/species/727/22380569
Akodon boliviensis,https://www.iucnredlist.org/species/728/22380659
Akodon budini,https://www.iucnredlist.org/species/729/22379926
Akodon cursor,https://www.iucnredlist.org/species/730/115051477
Akodon dayi,https://www.iucnredlist.org/species/731/115051592
Akodon fumeus,https://www.iucnredlist.org/species/733/115051715
Abrothrix illutea,https://www.iucnredlist.org/species/735/22337589
Akodon iniscatus,https://www.iucnredlist.org/species/736/115051841
Akodon juninensis,https://www.iucnredlist.org/species/737/115051962
Deltamys kempi,https://www.iucnredlist.org/species/738/22338967
Akodon kofordi,https://www.iucnredlist.org/species/739/22382602
Abrothrix lanosus,https://www.iucnredlist.org/species/740/22337685
Neomicroxus latebricola,https://www.iucnredlist.org/species/741/22382354
Akodon lindberghi,https://www.iucnredlist.org/species/742/22382527
Abrothrix longipilis,https://www.iucnredlist.org/species/743/115048280
Akodon mimus,https://www.iucnredlist.org/species/746/115052068
Akodon molinae,https://www.iucnredlist.org/species/747/115052185
Akodon mollis,https://www.iucnredlist.org/species/748/22383156
Thaptomys nigrita,https://www.iucnredlist.org/species/750/22333428
Abrothrix olivaceus,https://www.iucnredlist.org/species/751/22337955
Akodon orophilus,https://www.iucnredlist.org/species/752/22382763
Akodon lutescens,https://www.iucnredlist.org/species/753/22381474
Abrothrix sanborni,https://www.iucnredlist.org/species/754/22337774
Akodon sanctipaulensis,https://www.iucnredlist.org/species/755/22381397
Akodon serrensis,https://www.iucnredlist.org/species/756/115052301
Akodon siberiae,https://www.iucnredlist.org/species/757/22381246
Akodon simulator,https://www.iucnredlist.org/species/758/22381167
Akodon subfuscus,https://www.iucnredlist.org/species/760/22381005
Akodon surdus,https://www.iucnredlist.org/species/761/22382206
Akodon sylvanus,https://www.iucnredlist.org/species/762/22382115
Akodon toba,https://www.iucnredlist.org/species/763/22381962
Akodon torques,https://www.iucnredlist.org/species/764/115052408
Necromys urichi,https://www.iucnredlist.org/species/765/115052532
Akodon varius,https://www.iucnredlist.org/species/766/22381621
Alaena margaritacea,https://www.iucnredlist.org/species/772/168313276
Alasmidonta atropurpurea,https://www.iucnredlist.org/species/774/3142336
Alasmidonta heterodon,https://www.iucnredlist.org/species/775/13077570
Alasmidonta raveneliana,https://www.iucnredlist.org/species/776/3142501
Alasmidonta marginata,https://www.iucnredlist.org/species/779/69490612
Alasmidonta mccordi,https://www.iucnredlist.org/species/780/13078346
